description	sphere_radius	wei_P	wei_m
r1-p1-m3	0.00125	0.50	3
r2-p1-m3	0.00250	0.50	3
r3-p1-m3	0.00375	0.50	3
r4-p1-m3	0.00500	0.50	3
r5-p1-m3	0.00625	0.50	3
r6-p1-m3	0.00750	0.50	3
r7-p1-m3	0.00875	0.50	3
r8-p1-m3	0.01000	0.50	3
r1-p2-m3	0.00125	0.63	3
r2-p2-m3	0.00250	0.63	3
r3-p2-m3	0.00375	0.63	3
r4-p2-m3	0.00500	0.63	3
r5-p2-m3	0.00625	0.63	3
r6-p2-m3	0.00750	0.63	3
r7-p2-m3	0.00875	0.63	3
r8-p2-m3	0.01000	0.63	3
r1-p3-m3	0.00125	0.90	3
r2-p3-m3	0.00250	0.90	3
r3-p3-m3	0.00375	0.90	3
r4-p3-m3	0.00500	0.90	3
r5-p3-m3	0.00625	0.90	3
r6-p3-m3	0.00750	0.90	3
r7-p3-m3	0.00875	0.90	3
r8-p3-m3	0.01000	0.90	3
r1-p1-m2	0.00125	0.50	10
r2-p1-m2	0.00250	0.50	10
r3-p1-m2	0.00375	0.50	10
r4-p1-m2	0.00500	0.50	10
r5-p1-m2	0.00625	0.50	10
r6-p1-m2	0.00750	0.50	10
r7-p1-m2	0.00875	0.50	10
r8-p1-m2	0.01000	0.50	10
r1-p2-m2	0.00125	0.63	10
r2-p2-m2	0.00250	0.63	10
r3-p2-m2	0.00375	0.63	10
r4-p2-m2	0.00500	0.63	10
r5-p2-m2	0.00625	0.63	10
r6-p2-m2	0.00750	0.63	10
r7-p2-m2	0.00875	0.63	10
r8-p2-m2	0.01000	0.63	10
r1-p3-m2	0.00125	0.90	10
r2-p3-m2	0.00250	0.90	10
r3-p3-m2	0.00375	0.90	10
r4-p3-m2	0.00500	0.90	10
r5-p3-m2	0.00625	0.90	10
r6-p3-m2	0.00750	0.90	10
r7-p3-m2	0.00875	0.90	10
r8-p3-m2	0.01000	0.90	10
r1-p1-m1	0.00125	0.50	100
r2-p1-m1	0.00250	0.50	100
r3-p1-m1	0.00375	0.50	100
r4-p1-m1	0.00500	0.50	100
r5-p1-m1	0.00625	0.50	100
r6-p1-m1	0.00750	0.50	100
r7-p1-m1	0.00875	0.50	100
r8-p1-m1	0.01000	0.50	100
r1-p2-m1	0.00125	0.63	100
r2-p2-m1	0.00250	0.63	100
r3-p2-m1	0.00375	0.63	100
r4-p2-m1	0.00500	0.63	100
r5-p2-m1	0.00625	0.63	100
r6-p2-m1	0.00750	0.63	100
r7-p2-m1	0.00875	0.63	100
r8-p2-m1	0.01000	0.63	100
r1-p3-m1	0.00125	0.90	100
r2-p3-m1	0.00250	0.90	100
r3-p3-m1	0.00375	0.90	100
r4-p3-m1	0.00500	0.90	100
r5-p3-m1	0.00625	0.90	100
r6-p3-m1	0.00750	0.90	100
r7-p3-m1	0.00875	0.90	100
r8-p3-m1	0.01000	0.90	100
